Order_ID,Customer_Name,Order_Date,Region,Category,Quantity,Unit_Price,Sales_Amount,Cost_Amount,Profit_Amount,Payment_Method
O1001,Emily Erickson,2026-04-24,South,Home & Kitchen,5,3782,18910,10658.8,8251.2,COD
O1002,Kimberly Oconnell,2026-03-21,South,Electronics,2,617,1234,940.86,293.14,Debit Card
O1003,Diane Goodwin,2025-06-23,West,Electronics,5,1427,7135,3582.79,3552.21,UPI
O1004,Randy Curtis,2026-02-12,West,Books,5,2881,14405,8839.76,5565.24,COD
O1005,Christopher Huber,2026-02-24,North,Home & Kitchen,5,2671,13355,9627.57,3727.43,Debit Card
O1006,Denise Benson,2025-10-21,South,Electronics,1,3047,3047,1821.5,1225.5,Credit Card
O1007,Teresa Richards,2025-11-27,North,Fashion,5,4061,20305,15466.44,4838.56,COD
O1008,Kim Preston,2026-01-17,East,Home & Kitchen,1,4161,4161,2973.69,1187.31,COD
O1009,Yesenia Moody,2026-02-26,South,Electronics,4,4985,19940,14338.08,5601.92,Credit Card
O1010,Brandon Hart,2026-05-22,East,Fashion,1,3043,3043,2170.66,872.34,COD
O1011,Christopher Cole,2026-04-03,West,Books,2,2012,4024,2893.16,1130.84,COD
O1012,William Miller,2025-08-29,East,Books,3,4601,13803,8019.69,5783.31,UPI
O1013,Melissa Williams,2025-10-08,West,Home & Kitchen,1,1219,1219,633.31,585.69,Credit Card
O1014,Wesley Poole,2026-02-03,East,Fashion,5,2195,10975,8081.18,2893.82,COD
O1015,Bryan Juarez,2026-05-21,South,Fashion,3,2474,7422,4468.16,2953.84,Credit Card
O1016,Nancy Walker,2026-05-07,East,Fashion,4,2527,10108,6851.79,3256.21,COD
O1017,Claire Robertson,2026-05-02,West,Books,2,3962,7924,4649.95,3274.05,COD
O1018,Luke Macdonald,2025-09-05,West,Books,1,976,976,527.46,448.54,COD
O1019,Lisa Ruiz,2025-12-19,West,Electronics,1,2917,2917,1746.46,1170.54,Debit Card
O1020,Samuel Garcia,2025-10-22,South,Books,3,4279,12837,8184.97,4652.03,Credit Card
